material	Iodine
rho	4.94E+00
keV	ra/rho	cs/rho	pe/rho
40	4.859E-01	1.057E-01	2.151E+01
50	3.452E-01	1.093E-01	1.187E+01
60	2.577E-01	1.110E-01	7.208E+00
70	1.992E-01	1.116E-01	4.705E+00
80	1.584E-01	1.115E-01	3.240E+00
90	1.291E-01	1.109E-01	2.325E+00
100	1.073E-01	1.100E-01	1.725E+00
110	9.075E-02	1.089E-01	1.315E+00
120	7.780E-02	1.076E-01	1.026E+00
130	6.747E-02	1.063E-01	8.162E-01
140	5.909E-02	1.050E-01	6.602E-01
150	5.220E-02	1.036E-01	5.419E-01
160	4.645E-02	1.023E-01	4.505E-01
170	4.160E-02	1.010E-01	3.788E-01
180	3.748E-02	9.964E-02	3.217E-01
190	3.393E-02	9.835E-02	2.758E-01
200	3.087E-02	9.709E-02	2.383E-01